seed,h2,n_causal,r2,spearman
7777,0.1,60,-0.019795969212825337,0.05631624400601189
7777,0.1,70,-0.020227643114543392,0.11141894696662454
7777,0.1,80,0.04671177625083156,0.20576377126225637
7777,0.1,90,-0.025573264731589385,0.07052413102082687
7777,0.1,100,-0.03460129216058938,0.05513648400410335
7777,0.2,10,0.12021989125163479,0.34804847675167594
7777,0.2,20,0.03964795002084187,0.25267772025669777
7777,0.2,30,0.13735438768658226,0.36037435885201713
7777,0.2,40,0.038397378114168434,0.22137633895555506
7777,0.2,50,-0.013513464857922708,0.19269012572464633
7777,0.2,60,-0.03517060145901252,0.14236047427058235
7777,0.2,70,-0.013539377881461867,0.2041415177612902
7777,0.2,80,0.05980849696965729,0.24135820788701487
7777,0.2,90,-0.018595204335758675,0.17084476465395904
7777,0.2,100,0.05836348141448566,0.28046014743421527
7777,0.3,10,0.24934949926171568,0.4881054464775629
7777,0.3,20,0.17307301332898706,0.40957234534914244
7777,0.3,30,0.2615941381144291,0.49615745401627037
7777,0.3,40,0.11403470181253406,0.3370140038647804
7777,0.3,50,0.03462673538514305,0.28451034186606866
7777,0.3,60,-0.0038130686694062277,0.21307345468425698
7777,0.3,70,0.041706770496125034,0.29530558007491
7777,0.3,80,0.10776297322227912,0.326562874251497
7777,0.3,90,0.021352401762643636,0.24420383138106258
7777,0.3,100,0.09980207045169764,0.34962483002123246
7777,0.4,10,0.35376505384319457,0.583100221867023
7777,0.4,20,0.28604743843857594,0.5148209079848272
7777,0.4,30,0.38843967433447113,0.6131163012620179
7777,0.4,40,0.2355684446293257,0.4831949805568147
7777,0.4,50,0.14148288245996954,0.41376463010234515
7777,0.4,60,0.12234300302936763,0.35127466183171513
7777,0.4,70,0.16561474393240583,0.42231886823961645
7777,0.4,80,0.19078059739366116,0.43981229572727065
7777,0.4,90,0.0837692907749854,0.3386667939022354
7777,0.4,100,0.18884936672614916,0.46278369158098154
7777,0.5,10,0.45875002362282546,0.6672828685258965
7777,0.5,20,0.4190746113489269,0.6181611279433166
7777,0.5,30,0.48166416821918967,0.6875791683565141
7777,0.5,40,0.3609950064070603,0.5858699811532315
7777,0.5,50,0.29212793719367713,0.5315469141398478
7777,0.5,60,0.27019650413620167,0.51617367655128
7777,0.5,70,0.287910103043868,0.5300052007538708
7777,0.5,80,0.26820845010398076,0.5181584559963738
7777,0.5,90,0.1880247149015497,0.4480062027339743
7777,0.5,100,0.23731870210977057,0.505883818021328
7777,0.6,10,0.5690523360510757,0.7473909869504021
7777,0.6,20,0.5219564259607471,0.697508409475869
7777,0.6,30,0.5751747009578327,0.7510111887778229
7777,0.6,40,0.4935008746259969,0.6956898633012859
7777,0.6,50,0.3796552619867204,0.5990616694897059
7777,0.6,60,0.42933086114633456,0.6438847245747549
7777,0.6,70,0.3710784399459057,0.5976877162010641
7777,0.6,80,0.38714890683860004,0.6210891046592075
7777,0.6,90,0.2630028591708867,0.5214581196173391
7777,0.6,100,0.3257537499532287,0.5842466779588235
